"timeStamp","label","responseCode","responseMessage","success","elapsed","Latency","Connect","URL"
"1781176667062","02 Read Product From Catalog","503","","false","30038","30036","1","http://localhost:9090/api/products/097b4d95-1bf4-4036-a314-4ae5b22b6fdb"
"1781176671897","03 Place Order","401","","false","30031","30031","1","http://localhost:9090/api/orders"
"1781176669442","03 Place Order","503","","false","41173","41173","1","http://localhost:9090/api/orders"
"1781176670664","03 Place Order","503","","false","39952","39951","2","http://localhost:9090/api/orders"
"1781176671895","03 Place Order","503","","false","38721","38720","1","http://localhost:9090/api/orders"
"1781176670667","03 Place Order","503","","false","39948","39948","1","http://localhost:9090/api/orders"
"1781176673126","03 Place Order","503","","false","38701","38700","1","http://localhost:9090/api/orders"
"1781176676925","03 Place Order","503","","false","34918","34918","2","http://localhost:9090/api/orders"
"1781176674353","03 Place Order","503","","false","37490","37490","0","http://localhost:9090/api/orders"
"1781176673128","03 Place Order","503","","false","38715","38715","2","http://localhost:9090/api/orders"
"1781176675591","03 Place Order","503","","false","36252","36252","2","http://localhost:9090/api/orders"
"1781176675595","03 Place Order","503","","false","36249","36248","1","http://localhost:9090/api/orders"
"1781176675589","03 Place Order","503","","false","36256","36254","2","http://localhost:9090/api/orders"
"1781176675585","03 Place Order","503","","false","36261","36260","1","http://localhost:9090/api/orders"
"1781176678133","03 Place Order","503","","false","33713","33713","2","http://localhost:9090/api/orders"
"1781176676928","03 Place Order","503","","false","34918","34917","1","http://localhost:9090/api/orders"
"1781176675581","03 Place Order","503","","false","36265","36265","2","http://localhost:9090/api/orders"
